Facility Id	Facility Name	City	State	Zip Code	Address	Latitude	Longitude	Total reported direct emissions	CO2 emissions (non-biogenic) 	Methane (CH4) emissions 	Nitrous Oxide (N2O) emissions 	Stationary Combustion	Electricity Generation
1004377	121 REGIONAL DISPOSAL FACILITY	MELISSA	TX	75454	3820 SAM RAYBURN HIGHWAY	33.29857	-96.53586	241883.5	0.0	241883.5	0.0	0.0	0.0
1010040	15-18565/15-18662	Hazard	KY	40701	4200 S. Hwy 15	37.219099	-83.156046	225708.25	0.0	225708.25	0.0	0.0	0.0
1010085	15-19015	Hazard	KY	41701	1845 S. KY HWY 15	37.236617	-83.18126	68761.0	0.0	68761.0	0.0	0.0	0.0
1000112	23rd and 3rd	BROOKLYN	NY	11232	730 3rd Avenue	40.663	-74.0	40722.2	40681.1	18.75	22.35	174.0	40548.2
1006394	29-6 #2 Central Delivery Point	Blanco	NM	87412		36.7452	-107.4455	15353.192	15337.3	7.25	8.642	15353.192	0.0
1002885	30-5 Compressor Station	Aztec	NM	87410		36.8118	-107.4036	21883.568	21861.1	10.25	12.218	21883.568	0.0
1002707	31-6 Central Delivery Point	BLOOMFIELD	NM	87413		36.8363	-107.4199	62914.164	62849.5	29.5	35.164	62914.164	0.0
1003742	31st Street Landfill	WESTCHESTER	IL	60154	11700 W 31ST ST	41.835129	-87.915924	120707.35	140.1	120567.25	0.0	140.1	0.0
1002718	32-7 Central Delivery Point	Blanco	NM	87412		36.9313	-107.5604	40757.096	40714.9	19.25	22.946	40757.096	0.0
1002721	32-8 #2 Central Delivery Point	Blanco	NM	87412		36.9569	-107.6631	44334.284	44288.8	20.75	24.734	44334.284	0.0
1003188	3M BROWNWOOD	BROWNWOOD	TX	76801	4501 HIGHWAY 377 SOUTH	31.671177	-98.996513	36419.864	36382.6	17.0	20.264	36238.764	0.0
1005043	3M CO	MAPLEWOOD	MN	55144		44.951	-92.9959	81855.4	81753.3	42.5	59.6	81855.4	0.0
1003739	3M CO - GUIN	GUIN	AL	35563	6675 US HIGHWAY 43	33.96548	-87.89936	33684.328	33650.9	15.25	18.178	32197.228	0.0
1007698	3M CO - WAUSAU DOWNTOWN	WAUSAU	WI	54401	144 ROSECRANS ST	44.95018	-89.63766	26667.0	26639.6	12.5	14.9	26667.0	0.0
1004206	3M COMPANY	DECATUR	AL	35609	1400 STATE DOCKS RD.	34.641667	-87.038611	53024.89056	49952.3	23.5	28.31	50004.11	0.0
1006665	3M CORDOVA	CORDOVA	IL	61242	22614 ROUTE 84 NORTH	41.755	-90.284167	1230363.0352	32066.3	15.0	18.476	32099.776	0.0
1004836	3M Cottage Grove Center - Site	Cottage Grove	MN	55016	10746 Innovation Rd	44.789444	-92.908333	66306.62896	35173.0	23.5	61.984	33861.284	0.0
1003408	3M INDUSTRIAL MINERAL PRODUCTS DIVISION	LITTLE ROCK	AR	72206	3110 WALTERS DRIVE	34.708919	-92.239492	31188.932	31156.6	14.75	17.582	31188.932	0.0
1004914	3M MAGNETIC TAPE MANUFACTURING DIVISION	HUTCHINSON	MN	55350	905-915 ADAMS STREET SOUTHEAST	44.879677	-94.359598	39453.852	39413.3	18.5	22.052	39453.852	0.0
1004804	3M NEVADA PLANT	NEVADA	MO	64772	2120 E. AUSTIN	37.834476	-94.330625	27259.448	27231.5	12.75	15.198	27259.448	0.0
1007408	4 West Mine	Dilliner	PA	15327	625 Bald Hill Church Road	39.75537	-80.003499	118170.75	0.0	118170.75	0.0	0.0	0.0
1001106	48th Street Peaking Station	HOLLAND	MI	49423	491 E 48TH ST	42.7553	-86.0853	12516.852	12503.7	6.0	7.152	12.9	12503.952
1004680	58TH ST LF (MAIN COUNTY LF)	MIAMI	FL	33178	8831 NW 58TH ST	25.83301	-80.3465	89918.75	0.0	89918.75	0.0	0.0	0.0
1000766	59th Street	NEW YORK	NY	10019	850 12TH AVE	40.7711	-73.9911	262718.648	262368.5	141.25	208.898	262718.648	0.0
1007733	69TH ST WWTP	HOUSTON	TX	77020	2525 SSGT MACARIO GARCIA DR	29.75579	-95.29791	27184.248	27156.3	12.75	15.198	27184.248	0.0
1000767	74th Street	NEW YORK	NY	10021	506 E 75TH ST	40.768	-73.9515	272983.418	272615.6	147.0	220.818	272983.418	0.0
1001033	A B Brown Generating Station	MOUNT VERNON	IN	47620	8511 WELBORN ROAD	37.9053	-87.715	3143355.92	3118256.0	9182.25	15917.67	0.0	3143355.92
1006009	ABB Inc.	Mt. Pleasant	PA	15666	100 Distribution Circle	40.17811	-79.57707	21637.2	0.0	0.0	0.0	0.0	0.0
1002853	ABBOTT NUTRITION	STURGIS	MI	49091	901 NORTH CENTERVILLE ROAD	41.8095	-85.426	24996.502	24969.9	12.0	14.602	24996.502	0.0
1002983	ABBOTT PARK FACILITY	ABBOTT PARK	IL	60064	100 ABBOTT PARK RD	42.30227	-87.89065	64177.574	64080.3	41.25	56.024	64177.574	0.0
1007514	ABBVIE LTD.	BARCELONETA	PR	617	RD 2 KM 58.0	18.433237	-66.570509	98333.766	97999.0	98.75	236.016	98333.766	0.0
1004511	ABC COKE	TARRANT	AL	35217	ONE RAILROAD AVENUE	33.580769	-86.781281	201540.706	201371.4	51.0	118.306	186714.706	0.0
